    PID TTY          TIME CMD
      1 ?        00:00:04 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 slub_flushwq
      6 ?        00:00:00 netns
      8 ?        00:00:00 kworker/0:0H-events_highpri
     10 ?        00:00:00 mm_percpu_wq
     11 ?        00:00:00 rcu_tasks_kthread
     12 ?        00:00:00 rcu_tasks_rude_kthread
     13 ?        00:00:00 rcu_tasks_trace_kthread
     14 ?        00:00:00 ksoftirqd/0
     15 ?        00:00:06 rcu_preempt
     16 ?        00:00:00 migration/0
     17 ?        00:00:00 idle_inject/0
     19 ?        00:00:00 cpuhp/0
     20 ?        00:00:00 cpuhp/1
     21 ?        00:00:00 idle_inject/1
     22 ?        00:00:00 migration/1
     23 ?        00:00:00 ksoftirqd/1
     25 ?        00:00:00 kworker/1:0H-events_highpri
     26 ?        00:00:00 cpuhp/2
     27 ?        00:00:00 idle_inject/2
     28 ?        00:00:00 migration/2
     29 ?        00:00:00 ksoftirqd/2
     31 ?        00:00:00 kworker/2:0H-events_highpri
     32 ?        00:00:00 cpuhp/3
     33 ?        00:00:00 idle_inject/3
     34 ?        00:00:00 migration/3
     35 ?        00:00:00 ksoftirqd/3
     37 ?        00:00:00 kworker/3:0H-events_highpri
     38 ?        00:00:00 cpuhp/4
     39 ?        00:00:00 idle_inject/4
     40 ?        00:00:00 migration/4
     41 ?        00:00:01 ksoftirqd/4
     43 ?        00:00:00 kworker/4:0H-events_highpri
     44 ?        00:00:00 cpuhp/5
     45 ?        00:00:00 idle_inject/5
     46 ?        00:00:00 migration/5
     47 ?        00:00:00 ksoftirqd/5
     49 ?        00:00:00 kworker/5:0H-events_highpri
     50 ?        00:00:00 cpuhp/6
     51 ?        00:00:00 idle_inject/6
     52 ?        00:00:00 migration/6
     53 ?        00:00:00 ksoftirqd/6
     55 ?        00:00:00 kworker/6:0H-events_highpri
     56 ?        00:00:00 cpuhp/7
     57 ?        00:00:00 idle_inject/7
     58 ?        00:00:00 migration/7
     59 ?        00:00:00 ksoftirqd/7
     61 ?        00:00:00 kworker/7:0H-events_highpri
     62 ?        00:00:00 kdevtmpfs
     63 ?        00:00:00 inet_frag_wq
     64 ?        00:00:00 kauditd
     65 ?        00:00:00 khungtaskd
     67 ?        00:00:00 oom_reaper
     69 ?        00:00:00 writeback
     70 ?        00:00:00 kcompactd0
     71 ?        00:00:00 ksmd
     72 ?        00:00:00 khugepaged
     73 ?        00:00:00 kintegrityd
     74 ?        00:00:00 kblockd
     75 ?        00:00:00 blkcg_punt_bio
     77 ?        00:00:00 tpm_dev_wq
     78 ?        00:00:00 ata_sff
     80 ?        00:00:00 md
     81 ?        00:00:00 edac-poller
     82 ?        00:00:00 devfreq_wq
     83 ?        00:00:00 watchdogd
     86 ?        00:00:00 kworker/0:1H-kblockd
     87 ?        00:00:00 kswapd0
     88 ?        00:00:00 ecryptfs-kthread
     94 ?        00:00:00 kthrotld
    100 ?        00:00:00 irq/124-pciehp
    101 ?        00:00:00 irq/125-pciehp
    106 ?        00:00:00 acpi_thermal_pm
    107 ?        00:00:00 xenbus_probe
    108 ?        00:00:00 vfio-irqfd-clea
    110 ?        00:00:00 mld
    111 ?        00:00:00 ipv6_addrconf
    116 ?        00:00:00 kstrp
    122 ?        00:00:00 zswap-shrink
    171 ?        00:00:00 charger_manager
    194 ?        00:00:00 kworker/1:1H-kblockd
    208 ?        00:00:00 kworker/6:1H-events_highpri
    231 ?        00:00:00 nvme-wq
    232 ?        00:00:00 nvme-reset-wq
    233 ?        00:00:00 nvme-delete-wq
    238 ?        00:00:00 kworker/3:1H-kblockd
    239 ?        00:00:00 kworker/4:1H-events_highpri
    240 ?        00:00:00 kworker/7:1H-kblockd
    241 ?        00:00:12 irq/157-DELL0A20:00
    273 ?        00:00:01 jbd2/nvme0n1p5-8
    274 ?        00:00:00 ext4-rsv-conver
    309 ?        00:00:00 kworker/5:1H-events_highpri
    344 ?        00:00:00 kworker/2:1H-events_highpri
    469 ?        00:00:00 cryptd
    474 ?        00:00:00 cfg80211
    483 ?        00:00:01 irq/159-iwlwifi:default_queue
    484 ?        00:00:00 irq/160-iwlwifi:queue_1
    485 ?        00:00:00 irq/161-iwlwifi:queue_2
    486 ?        00:00:00 irq/162-iwlwifi:queue_3
    487 ?        00:00:00 irq/163-iwlwifi:queue_4
    489 ?        00:00:01 irq/164-iwlwifi:queue_5
    491 ?        00:00:01 irq/165-iwlwifi:queue_6
    492 ?        00:00:00 irq/166-iwlwifi:queue_7
    493 ?        00:00:00 irq/167-iwlwifi:queue_8
